Price,Location,Size,Bedrooms,Bathrooms,Wardrobes,Cabinets,Balcony,Parking,Quarters
18 000 000 Rwf,Kanombe airport Kigali,400sqm,3.0,1.0,,,,,Yes
115 000 000 Rwf,Kibagabaga  ,25/30P,5.0,3.0,,,,,
20 000 000 Rwf,kigali,20m/40m,,,,,,,
Negotiable,Masaka-Kigali,13 sqm,4.0,,,,,,
35 000 000 Rwf,Kigali,/,4.0,2.0,,,,Yes,
50 000 000 Rwf,kigali kanombe,25/30m,4.0,3.0,,,,Yes,Yes
65 000 000 Rwf,kicukiro@65m kigalidealer,20/25 ,4.0,3.0,,,,Yes,
55 000 000 Rwf,Kicukiro:kivuproperty.com,20mx30m,4.0,4.0,,,,,
80 000 000 Rwf,Gikondo 80m,600sqm,4.0,3.0,,,,,
70 000 000 Rwf,KIGALI CITY,,4.0,3.0,Yes,Yes,Yes,Yes,
45 000 000 Rwf,kanombe @45.000.000 Rwf,25/25m,4.0,3.0,,,,Yes,Yes
300 000 000 Rwf,Gacuriro house for sale@300 millions,30/30P,6.0,6.0,Yes,,,Yes,Yes
120 000 000 Rwf,kibagabaga house for sale@120.000.000 Rwf,30/30m,4.0,4.0,,,,Yes,Yes
140 000 000 Rwf,kimironko house @140.000.000 rwf,30/40m,5.0,5.0,,,,Yes,Yes
40 000 000 Rwf,40M Gihogwe at Akagera motor,,4.0,2.0,Yes,,Yes,Yes,Yes
45 000 000 Rwf,GAHANGA,/,,,,,,,
45 000 000 Rwf,45M Gikondo,20MX30M,4.0,3.0,,,,Yes,Yes
47 000 000 Rwf,Gahanga 70M,20/15F,4.0,4.0,,,Yes,,
85 000 000 Rwf,85M kagarama,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
65 000 000 Rwf,"kicukiro, house for sale @65.000.000 Rwf",30/35m,5.0,5.0,,,Yes,Yes,Yes
85 000 000 Rwf,"Kimironko house for sale, 4 bedrooms, price:85 millions",/,4.0,3.0,,,,,
60 000 000 Rwf,60M Kanombe,30mx20m,4.0,3.0,,,,,Yes
70 000 000 Rwf,70M KANOMBE,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
150 000 000 Rwf,"KIGALI,KIMIRONKO",/,4.0,4.0,,Yes,,Yes,
85 000 000 Rwf,85M KIBAGABAGA,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
95 000 000 Rwf,www.Gobelandhouse.com is selling a house at Kanombe@95millions,25/30P,4.0,3.0,,,,Yes,Yes
65 000 000 Rwf,kimironko @65.000.000 Rwf,25/30m,4.0,3.0,,,,Yes,Yes
65 000 000 Rwf,www.gobelandhouse.com is selling a house at kicukiro @65.000.000RWF,25/30m,,1.0,,,,Yes,Yes
110 000 000 Rwf,110M KIBAGABA,,5.0,4.0,Yes,Yes,Yes,Yes,Yes
60 000 000 Rwf,60M REMERA,20MX30M,4.0,2.0,,,,Yes,Yes
55 000 000 Rwf,kigali kimironko,25/30m,4.0,3.0,,,,Yes,Yes
180 000 000 Rwf,Gacuriro,/,4.0,4.0,,,Yes,,
30 000 000 Rwf,30M masaka,40mx25m,3.0,2.0,Yes,Yes,Yes,Yes,
80 000 000 Rwf,kigali 80,30/25p,4.0,3.0,,Yes,,Yes,Yes
49 000 000 Rwf,kanombe,749sqm,4.0,3.0,,,,Yes,
38 000 000 Rwf,38M KANOMBE,20m/30m,4.0,3.0,,,,Yes,Yes
85 000 000 Rwf,Gacuriro,/,4.0,3.0,,,,Yes,
60 000 000 Rwf,kINYINYA:kivuproperty.com,25mx30m,4.0,3.0,,,,,
200 000 000 Rwf,200M kibagabaga,,5.0,4.0,Yes,Yes,Yes,Yes,Yes
70 000 000 Rwf,"kicukiro, house for sale @70.000.000 Rwf",40/30m,4.0,3.0,,,,Yes,Yes
58 000 000 Rwf,58m kibagabaga,25m/30m,4.0,3.0,,,,Yes,Yes
65 000 000 Rwf,Kanombe house for sale@65 millions,20/25m,,1.0,,,,Yes,Yes
150 000 000 Rwf,"KIGALI,KACYIRU",/,4.0,3.0,,Yes,,Yes,
27 000 000 Rwf,27M kabuga/muyumbu,30mx20m,4.0,3.0,Yes,Yes,Yes,Yes,
24 000 000 Rwf,24M GIKONDO,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
47 000 000 Rwf,kigali-kanombe,30mx20m,4.0,3.0,Yes,Yes,Yes,Yes,Yes
55 000 000 Rwf,55M Kibagababa,25mx20m,4.0,2.0,,,,,Yes
90 000 000 Rwf,Kagugu house for sale@90 millions,30/25m,4.0,3.0,,,,Yes,Yes
30 000 000 Rwf,Kigalidealer.com,600Sqm,4.0,2.0,,,Yes,,Yes
218 000 000 Rwf,Gasabo-Ndera,999sqm,,,,,,,Yes
45 000 000 Rwf,kigali,/,4.0,3.0,,,,Yes,Yes
20 000 000 Rwf,20M GASANZE,/,5.0,2.0,,Yes,,,
90 000 000 Rwf,90M KANOMBE,30mx25m,4.0,3.0,Yes,Yes,Yes,Yes,
35 000 000 Rwf,35M KIMIRONKO,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
45 000 000 Rwf,kigali -kinyinya,/,4.0,3.0,,,,,Yes
47 000 000 Rwf,47M kanombe,30/20m,4.0,3.0,,,,Yes,Yes
72 000 000 Rwf,kigali-kanombe,500Sqm,4.0,3.0,Yes,,,Yes,Yes
212 000 000 Rwf,KICUKIRO,1300 sq,5.0,5.0,,,,Yes,Yes
40 000 000 Rwf,kabeza,25/30 ,4.0,2.0,,,,,
4 000 000 Rwf,Kigali,/,4.0,3.0,,Yes,,,
38 000 000 Rwf,38M KINYINYA,25m/30m,4.0,3.0,,,,Yes,Yes
55 000 000 Rwf,www.gobeland.com/ kanombe@55 millions.,25/30m,4.0,3.0,,,,Yes,Yes
1 500 000 000 Rwf,kibagabaga @150 millions,25/20m,,1.0,,,,Yes,Yes
120 000 000 Rwf,"www.Gobeland.com, kibagabaga@120 millions",25/30m,5.0,4.0,,,,Yes,Yes
15 000 000 Rwf,Kigali ,/,3.0,,,,,,
38 000 000 Rwf,38M KANOMBE,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
47 000 000 Rwf,Kanombe house for sale@47 millions,20/20m,,1.0,,,,Yes,Yes
130 000 000 Rwf,"Kigali, Kimironko",,,,Yes,Yes,Yes,Yes,Yes
75 000 000 Rwf,"kicukiro, house for sale @75.000.000 Rwf",25/30m,4.0,3.0,,,,Yes,Yes
250 000 000 Rwf,"KIGALI,GACURIRO",/,6.0,5.0,,Yes,,,
350 000 000 Rwf,Kiyovu,3338sqm,5.0,2.0,,Yes,,Yes,
25 000 000 Rwf,25M kabuga,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
30 000 000 Rwf,30m kanombe,/,4.0,3.0,,Yes,,,
65 000 000 Rwf,"kibagabaga, @65.000.000 Rwf",28/30m,4.0,3.0,,,,Yes,Yes
130 000 000 Rwf,130M kimihurura,/,3.0,3.0,,Yes,,,
120 000 000 Rwf,"www.gobelandhouse.com,kibagabaga @120 millions",25/20m,,1.0,,,,Yes,Yes
50 000 000 Rwf,kanombe 50millions,25/30m,4.0,3.0,,,,Yes,Yes
100 000 000 Rwf,kagugu @100.000.000 Rwf,25/30m,4.0,3.0,,,,Yes,Yes
50 000 000 Rwf,"www.gobeland.com,kanombe @50 millions",25/20m,,1.0,,,,Yes,Yes
65 000 000 Rwf,Kanombe house for sale@65 millions,25/20â,4.0,3.0,,,,Yes,Yes
61 000 000 Rwf,www.kigalidealer.com,30/20f,4.0,3.0,,,,Yes,
60 000 000 Rwf,kimironko @60.000.000 Rwf,25/30m,4.0,2.0,,,,Yes,Yes
45 000 000 Rwf,Kimironko:kivuproperty.com,15mx30m,4.0,2.0,,,,,
47 000 000 Rwf,Kanombe house for sale@47 millions,30/25m,4.0,3.0,,,,Yes,Yes
70 000 000 Rwf,kimironko @70.000.000 Rwf,28/30m,4.0,3.0,,,,Yes,Yes
65 000 000 Rwf,"KIGALI,KIBAGABAGA",/,4.0,3.0,,Yes,,Yes,
55 000 000 Rwf,kigali remera,25/20m,4.0,3.0,,,,Yes,Yes
110 000 000 Rwf,110M KIBAGABAGA,25m/30m,4.0,0.0,,,,Yes,Yes
35 000 000 Rwf,kigali,/,4.0,3.0,,,,Yes,
48 000 000 Rwf,Kanombe,525sqm,4.0,3.0,,,,Yes,Yes
140 000 000 Rwf,"Kibagabaga house for sale, 140 millions",30/25P,5.0,4.0,,,,Yes,Yes
14 000 000 Rwf,14M muyumbu,30mx20m,4.0,1.0,,,,Yes,
50 000 000 Rwf,50m kagarama,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
18 000 000 Rwf,18m gisozi,/,4.0,2.0,,,,,
53 000 000 Rwf,kanombe @53.000.000 Rwf,28/30m,4.0,3.0,,,,Yes,Yes
70 000 000 Rwf,www.kigalidealer.com,30/20p,3.0,3.0,,Yes,,Yes,Yes
70 000 000 Rwf,kimironko @70.000.000 Rwf,25/30m,4.0,3.0,,,,Yes,Yes
47 000 000 Rwf,kigali kanombe,25/28m,4.0,3.0,,,,Yes,Yes
46 000 000 Rwf,kigali-kanombe@festus,600sqm,4.0,1.0,,,,,Yes
65 000 000 Rwf,kigali kicukiro,25/30m,4.0,3.0,,,,Yes,Yes
45 000 000 Rwf,45M KABEZA,20mx30m,4.0,3.0,,,,,
59 000 000 Rwf,59M kibagabaga,20mx30m,4.0,3.0,,,,,
45 000 000 Rwf,"Kigali, kicukiro niboyi",/,4.0,2.0,,Yes,,Yes,Yes
100 000 000 Rwf,Remera,806Sqm,4.0,2.0,,,,Yes,Yes
65 000 000 Rwf,kigali--kibagabaga,25mx30m,4.0,3.0,,,,,
65 000 000 Rwf,"www.gobelandhouse.com,kanombe @65 millions",25/20m,,1.0,,,,Yes,Yes
65 000 000 Rwf,kigali kibagabaga,/,4.0,3.0,,,,Yes,Yes
150 000 000 Rwf,Next to free zone 150M,2264 sq,4.0,1.0,,,,Yes,Yes
75 000 000 Rwf,75M NIBOYI,/,4.0,3.0,,Yes,,,Yes
120 000 000 Rwf,Kigalikibagabag,/,5.0,4.0,,,,,
90 000 000 Rwf,90M GIHOGWE,,4.0,2.0,Yes,Yes,Yes,Yes,Yes
20 000 000 Rwf,20M KABUGA,/,4.0,3.0,,Yes,,,
30 000 000 Rwf,30m kabuga,20mx30m,4.0,3.0,,,,Yes,
80 000 000 Rwf,Gacuriro house for sale@80 millions,20/25P,4.0,3.0,Yes,,,Yes,Yes
53 000 000 Rwf,Kanombe house for sale@53 millions,25/20m,,1.0,,,,Yes,Yes
75 000 000 Rwf,"kicukiro, house for sale @75.000.000 Rwf",28/30m,4.0,3.0,,,,Yes,Yes
160 000 000 Rwf,Kibagabaga,/,4.0,4.0,,,Yes,Yes,Yes
50 000 000 Rwf,Kabuga:kivuproperty.com,25mx30m,4.0,3.0,,,,,
100 000 000 Rwf,Kigali-Kibagabaga house for sale@100 millions:www.gobeland.com,25/35m,4.0,3.0,,,,Yes,Yes
85 000 000 Rwf,Kibagabaga house for sale@85 millions,/,4.0,3.0,,,,,
140 000 000 Rwf,kigali kibagabaga,25/30m,6.0,4.0,,,,Yes,Yes
55 000 000 Rwf,"KIGALI,MASAKA",/,4.0,3.0,,Yes,,,
110 000 000 Rwf,110M KAGARAMA,20mx30m,4.0,3.0,,,,,
60 000 000 Rwf,kigali,20MX30M,4.0,3.0,,,,Yes,Yes
90 000 000 Rwf,90m kagarama,20mx30m,4.0,3.0,,,,Yes,Yes
55 000 000 Rwf,"www.gobeland.com,kanombe @55 millions",25/25m,4.0,3.0,,,,Yes,Yes
50 000 000 Rwf,"KIGALI,KANOMBE",/,3.0,2.0,,Yes,,,
48 000 000 Rwf,nyamirambo,/,4.0,2.0,,,,Yes,
65 000 000 Rwf,"www.gobeland.com,kagarama@65 millions",25/30m,,1.0,,,,Yes,Yes
80 000 000 Rwf,80M KIMIRONKO,20mx30m,4.0,3.0,,,,,
22 000 000 Rwf,www.kigalidealer.com,20/15 ,4.0,3.0,,,,,
15 000 000 Rwf,Kigali-KIMIRONKO,/,3.0,1.0,,,,,
16 000 000 Rwf,kanombe,20mx25m,3.0,2.0,,,,,
30 000 000 Rwf,30M KANOMBE,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
110 000 000 Rwf,kigali gacuriro,30/25 ,4.0,4.0,,,,Yes,Yes
38 000 000 Rwf,38m gisozi,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
30 000 000 Rwf,kigali kicukiro,20/30 ,,1.0,,,,,
18 000 000 Rwf,kigali,2525cal,,,,,,,
100 000 000 Rwf,Kibagabaga  ,25/30P,4.0,3.0,,,,,
42 000 000 Rwf,42m masaka,20mx30m,4.0,2.0,,,,,
15 000 000 Rwf,15M KABUGA,30mx20m,4.0,1.0,Yes,Yes,Yes,Yes,
52 000 000 Rwf,52M KIMIRONKO,30mx20m,4.0,3.0,Yes,Yes,Yes,Yes,
50 000 000 Rwf,Kabuga:kivuproperty.com,25mx30m,4.0,3.0,,,,,
45 000 000 Rwf,kigali kanombe,25/20m,4.0,2.0,,,,Yes,Yes
35 000 000 Rwf,"Kigali, Kimironko",,4.0,3.0,,,Yes,,
53 000 000 Rwf,"Kanombe, Kigali",,4.0,3.0,Yes,Yes,Yes,Yes,
60 000 000 Rwf,Kicukiro house for sale 60millions,/,4.0,3.0,,,,,Yes
3 000 000 Rwf,Kigali gasogi,36mx28m,,,,,,,
110 000 000 Rwf,kibagabaga @110.000.000 Rwf,35/30m,4.0,3.0,,,,Yes,Yes
$ 500,"Kibagabaga, Kigali",,3.0,3.0,Yes,Yes,Yes,Yes,
55 000 000 Rwf,kanombe @55.000.000 Rwf,25/25m,4.0,3.0,,,,Yes,Yes
60 000 000 Rwf,60M KANOMBE,/,4.0,3.0,,Yes,,,
35 000 000 Rwf,35m kanombe,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
90 000 000 Rwf,kigali-kicukiro,25mx30m,4.0,3.0,Yes,Yes,Yes,Yes,Yes
30 000 000 Rwf,30M KANOMBE,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
25 000 000 Rwf,25M KANOMBE,,4.0,2.0,Yes,Yes,Yes,Yes,Yes
18 000 000 Rwf,Kanombe airport Kigali,400sqm,3.0,1.0,,,,,Yes
42 000 000 Rwf,Kigali ,22/15C,4.0,3.0,,,,Yes,
100 000 000 Rwf,100M KIBAGABAGA,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
65 000 000 Rwf,Kigali 65M,/,4.0,3.0,,Yes,,,
48 000 000 Rwf,kigali-kicukiro-kagarama,20mx30m,4.0,3.0,,,,Yes,
60 000 000 Rwf,60M kicukiro ,700SQm,,2.0,,,,,
65 000 000 Rwf,www.gobeland.com/ kicukiro@ 65 millions,25/30m,4.0,3.0,,,,Yes,Yes
50 000 000 Rwf,kanombe @50.000.000 Rwf,20/25m,4.0,3.0,,,,Yes,Yes
43 000 000 Rwf,www.kigalidealer.com,30/20 ,4.0,3.0,,,,,
25 000 000 Rwf,KAREMBURE,/,,,,,,,
55 000 000 Rwf,"Kigali,kanombe @55 millions.",25/25m,4.0,3.0,,,,Yes,Yes
65 000 000 Rwf,65m kabeza,20mx30m,4.0,3.0,,,,,Yes
60 000 000 Rwf,kimironko @60.000.000 Rwf,25/30m,4.0,3.0,,,,Yes,Yes
52 000 000 Rwf,"KIGALI,KANOMBE. ",/,4.0,3.0,,Yes,,,
15 000 000 Rwf,Kigali ,25/,,,,,,,
40 000 000 Rwf,Kanombe house for sale@40 millions,25/20m,,1.0,,,,Yes,Yes
50 000 000 Rwf,kanombe @50.000.000 Rwf,25/30m,4.0,3.0,,,,Yes,Yes
65 000 000 Rwf,kigali kimironko,25/25m,4.0,3.0,,,,Yes,Yes
85 000 000 Rwf,85M KIBAGABAGA,25mx30m,4.0,3.0,Yes,Yes,Yes,Yes,
75 000 000 Rwf,"Kigali, Kicukiro",650 sq,,1.0,,Yes,,,
120 000 000 Rwf,Rusororo house for sale@120 millions,20/30m,4.0,4.0,,,,Yes,Yes
32 000 000 Rwf,32M KIMIRONKO,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
53 000 000 Rwf,kigali,400 sm,4.0,3.0,,,,,
30 000 000 Rwf,www.gobelandhouse.com is selling a house at masaka@30.000.000RWF,25/20m,4.0,3.0,,,,Yes,Yes
65 000 000 Rwf,kigali kicukiro,25/25m,4.0,3.0,,,,Yes,Yes
65 000 000 Rwf,Kanombe house for sale@65 millions,20/25m,,1.0,,,,Yes,Yes
65 000 000 Rwf,"REMERA HOUSE FOR SALE @65,000,000 RWF",25/30m,4.0,3.0,,,,Yes,Yes
35 000 000 Rwf,kigali gacuriro,750sqm,,,,,,,
35 000 000 Rwf,kigali masaka,25/20m,4.0,3.0,,,,Yes,Yes
50 000 000 Rwf,"www.Gobeland.com, kicukiro@50 millions",25/20m,4.0,3.0,,,,Yes,Yes
30 000 000 Rwf,30M GIKONDO,/,4.0,3.0,,Yes,,,
130 000 000 Rwf,"KIGALI,KIBAGABAGA",/,5.0,4.0,,Yes,,Yes,
200 000 000 Rwf,200M kibagabaga,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
35 000 000 Rwf,kigali kimironko,20/20m,4.0,2.0,,,,Yes,Yes
160 000 000 Rwf,150m kibagabaga,20mx25m,5.0,5.0,Yes,Yes,Yes,Yes,
80 000 000 Rwf,kigali,30/20p,4.0,3.0,,Yes,,Yes,Yes
31 000 000 Rwf,NYAMATA,,4.0,3.0,,,Yes,,Yes
50 000 000 Rwf,kanombe @50.000.000 Rwf,25/30m,4.0,3.0,,,,Yes,Yes
450 000 000 Rwf,Nyarutarama,30x35 ,6.0,5.0,Yes,,,Yes,Yes
55 000 000 Rwf,Kabeza house for sale@55 millions,20/25m,4.0,3.0,,,,Yes,Yes
90 000 000 Rwf,Kagugu house for sale@90 millions,30/35P,4.0,3.0,,,,Yes,Yes
120 000 000 Rwf,Kibagabaga house for sale@120 millions,/,5.0,4.0,,,,,
70 000 000 Rwf,"kicukiro, house for sale @70.000.000 Rwf",25/30m,4.0,3.0,,,,Yes,Yes
35 000 000 Rwf,kigali masaka,25/25m,4.0,3.0,,,,Yes,Yes
35 000 000 Rwf,35M REBERO,400SQm,,2.0,,,,,
85 000 000 Rwf,"Kibagabaga house for sale, 85 millions",25/15m,4.0,3.0,,,,Yes,Yes
70 000 000 Rwf,70M GIKONDO,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
130 000 000 Rwf,kimironko @130.000.000 Rwf,35/40m,6.0,5.0,,,,Yes,Yes
37 000 000 Rwf,Kigali,/,4.0,3.0,,,,,
50 000 000 Rwf,kanombe @50.000.000 Rwf,25/30m,4.0,3.0,,,,Yes,Yes
50 000 000 Rwf,kanombe house @50.000.000 rwf,30/40m,4.0,3.0,,,,Yes,Yes
50 000 000 Rwf,kanombe @50.000.000 Rwf,25/30m,4.0,3.0,,,,Yes,Yes
33 000 000 Rwf,33M Gasogi house for sale,20mx30m,4.0,3.0,Yes,Yes,Yes,Yes,
52 000 000 Rwf,kigali kabeza,25/20m,4.0,3.0,,,,Yes,Yes
60 000 000 Rwf,Kimironko house for sale@60 millions,25/20m,4.0,3.0,,,,Yes,Yes
65 000 000 Rwf,Kigali 65 m,30/20p,5.0,3.0,,Yes,,Yes,Yes
75 000 000 Rwf,Kimironko,20mx30m,3.0,2.0,Yes,Yes,Yes,Yes,
35 000 000 Rwf,Kigali Gacuriro ,25/30 ,,,,,,,
55 000 000 Rwf,kanombe @55.000.000 Rwf,28/30m,4.0,3.0,,,,Yes,Yes
60 000 000 Rwf,kigali,30/20f,4.0,3.0,,Yes,,Yes,Yes
65 000 000 Rwf,Kicukiro:kivuproperty.com,25mx30m,4.0,3.0,,,,,
135 000 000 Rwf,homeland.rw,/,5.0,4.0,,,,,
35 000 000 Rwf,Nyamirambo,/,5.0,1.0,,,,Yes,
60 000 000 Rwf,kigali-kimironko @60 millions,25/35m,4.0,3.0,,,,Yes,
13 000 000 Rwf,13M GISOZI,/,4.0,3.0,,Yes,,,
165 000 000 Rwf,KICUKIRO ON THE TARMAC STREET,700 sq,5.0,3.0,,,,Yes,
65 000 000 Rwf,40M KANOMBE,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
$ 500,500$ KIBAGABAGA,/,4.0,3.0,,,,,Yes
130 000 000 Rwf,Kimironko:kivuproperty.com,30mx30m,5.0,4.0,,,,,Yes
75 000 000 Rwf,"kicukiro, house for sale @75.000.000 Rwf",25/20m,4.0,3.0,,,,Yes,Yes
25 000 000 Rwf,Ruyenzi -25M,20mx30m,,,,,,,
46 000 000 Rwf,kanombe @45.000.000 Rwf,25/30m,4.0,3.0,,,,Yes,Yes
75 000 000 Rwf,"kicukiro, house for sale @75.000.000 Rwf",25/30m,5.0,3.0,,,,Yes,Yes
80 000 000 Rwf,80m kibagabaga,30mx20m,4.0,3.0,Yes,Yes,Yes,Yes,
150 000 000 Rwf,www.gobelandhouse.com i selling a house at Nyarutarama@150.000.000RWF,25/25m,4.0,4.0,,,,Yes,Yes
85 000 000 Rwf,kigali gacuriro,/,4.0,3.0,,,,Yes,Yes
25 000 000 Rwf,25M kabuga,/,4.0,3.0,,Yes,,,
60 000 000 Rwf,60M gisozi,25mx20m,4.0,3.0,Yes,Yes,Yes,Yes,Yes
50 000 000 Rwf,Kimironko house for sale@50 millions,25/20m,,1.0,,,,Yes,Yes
125 000 000 Rwf,Kigali - Rusororo near RPF headquarter,1/2,4.0,3.0,,,,,Yes
85 000 000 Rwf,kigali-kicukiro,25mx30m,4.0,3.0,Yes,Yes,Yes,Yes,Yes
160 000 000 Rwf,www.gobelandhouse.com is selling a house at kicukiro@160.000.000RWF,35/30m,5.0,4.0,,,,Yes,Yes
16 000 000 Rwf,Kigali ,/,,,,,,,
55 000 000 Rwf,55M GISOZI,20mx30m,4.0,3.0,,,,,
23 000 000 Rwf,23M GISOZI,20mx25m,4.0,2.0,Yes,Yes,Yes,Yes,
45 000 000 Rwf,45M KANOMBE,/,4.0,3.0,,Yes,,,
280 000 000 Rwf,280M KIBAGABAGA,20mx30m,3.0,3.0,,,,Yes,Yes
3 500 000 Rwf,Kigali Gasanze,/,,,,,,,
55 000 000 Rwf,Kanombe house for sale@55 millions,20/25m,4.0,3.0,,,,Yes,Yes
45 000 000 Rwf,kagarama 45M,/,4.0,3.0,,Yes,,,
3 500 000 Rwf,Kigali Gasanze,/,,,,,,,
6 500 000 Rwf,kigali,3030cal,,,,,,,
15 000 000 Rwf,15M KANOMBE,/,3.0,3.0,,Yes,,,
45 000 000 Rwf,45M GIKONDO,20mx30m,4.0,3.0,,,,,
60 000 000 Rwf,60M REMERA,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
32 000 000 Rwf,"www.gobeland.com,Masaka @32 millions",25/25m,4.0,3.0,,,,Yes,Yes
40 000 000 Rwf,Kanombe house for sale@50 millions,25/20m,4.0,2.0,,,,Yes,Yes
28 000 000 Rwf,28M MASAKA,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
31 000 000 Rwf,NYAMATA,,4.0,3.0,,,Yes,,Yes
50 000 000 Rwf,"kanombe house for sale@50,000,000 rwf",25/30m,4.0,3.0,,,,Yes,Yes
85 000 000 Rwf,kigali--kibagabaga,25mx30m,4.0,3.0,,,,,
85 000 000 Rwf,85M KANOMBE,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
140 000 000 Rwf,140m kibagabaga,/,4.0,3.0,,Yes,,,
55 000 000 Rwf,kigali kanombe,25/30m,4.0,3.0,,,,Yes,Yes
63 000 000 Rwf,kigali--kibagabaga,30mx25m,,,,,,,
65 000 000 Rwf,kigali kimironko,25/30m,4.0,3.0,,,,Yes,Yes
55 000 000 Rwf,gisozi kigali,/,4.0,3.0,,,,Yes,Yes
90 000 000 Rwf,"Kigali, Kicukiro",,5.0,4.0,Yes,Yes,Yes,Yes,
32 000 000 Rwf,32M KIMIRONKO,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
60 000 000 Rwf,kigali-kimironko @60 millions,25/35m,4.0,3.0,,,,Yes,
35 000 000 Rwf,35m kanombe,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
55 000 000 Rwf,55M KANOMBE ,30mx28m,4.0,3.0,Yes,Yes,Yes,Yes,
65 000 000 Rwf,kacyiru @65.000.000 Rwf,20/30m,4.0,3.0,,,,Yes,Yes
200 000 000 Rwf,200M Gikondo,20mx30m,8.0,6.0,,,,,
85 000 000 Rwf,kigali-kicukiro,25mx30m,4.0,3.0,Yes,Yes,Yes,Yes,Yes
55 000 000 Rwf,www.gobeland.com/ kanombe@55 millions,25/30m,4.0,3.0,,,,Yes,Yes
100 000 000 Rwf,kanombe @100.000.000 Rwf,30/30m,5.0,3.0,,,,Yes,Yes
35 000 000 Rwf,www.gobelandhouse.com is selling a house at Ruyenzi @35000000RWF,20/30m,4.0,3.0,,,,Yes,Yes
120 000 000 Rwf,120M kibagabaga,/,4.0,3.0,,Yes,,Yes,
55 000 000 Rwf,Kicukiro house for sale@55 millions,25/20m,,1.0,,,,Yes,Yes
30 000 000 Rwf,30M masaka,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
50 000 000 Rwf,"kicukiro, house for sale @50.000.000 Rwf",28/30m,4.0,3.0,,,,Yes,Yes
85 000 000 Rwf,Kibagabaga house for sale@85 millions,35/30P,4.0,3.0,,,,Yes,Yes
130 000 000 Rwf,"130M,Kimihurura ",/,3.0,3.0,,Yes,,Yes,
47 000 000 Rwf,47m kagarama,25mx20m,4.0,3.0,Yes,Yes,Yes,Yes,
5 500 000 Rwf,Nyamata,25/20,3.0,,,,,,Yes
47 000 000 Rwf,Gisozi:kivuproperty.com,30mx25m,4.0,2.0,,,,,
33 000 000 Rwf,33m kanombe,/,4.0,3.0,,Yes,,,
47 000 000 Rwf,kanombe @47.000.000 Rwf,25/20m,4.0,3.0,,,,Yes,Yes
65 000 000 Rwf,"kibagabaga, @65.000.000 Rwf",20/25m,4.0,3.0,,,,Yes,Yes
90 000 000 Rwf,kigali,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
130 000 000 Rwf,"kibagabaga, @130.000.000 Rwf",30/30m,4.0,4.0,,,,Yes,Yes
60 000 000 Rwf,kigali kabeza,25/25m,4.0,3.0,,,,Yes,Yes
25 000 000 Rwf,25m kicukiro,/,4.0,3.0,,Yes,,,
95 000 000 Rwf,GACURIRO 95M,/,4.0,1.0,,,,Yes,Yes
35 000 000 Rwf,www.kigalidealer.com,/,3.0,3.0,,,,,
115 000 000 Rwf,"Kibagabaga, Kigali",,5.0,4.0,Yes,Yes,Yes,Yes,
75 000 000 Rwf,kigali,30mx30m,4.0,3.0,,,,Yes,Yes
37 000 000 Rwf,kigali kicukiro,20/30m,,1.0,,,,,Yes
55 000 000 Rwf,kigali kanombe,25/25m,4.0,3.0,,,,Yes,Yes
45 000 000 Rwf,45M GIKONDO,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
80 000 000 Rwf,REMERA 80millions,25mx35m,4.0,3.0,,,,,Yes
22 000 000 Rwf,Kigalidealer.com,1200Sqm,5.0,2.0,,,Yes,,Yes
300 000 000 Rwf,"KIGALI,GISOZI",/,5.0,5.0,,Yes,,,Yes
49 000 000 Rwf,49M kanombe,/,4.0,3.0,,Yes,,,
80 000 000 Rwf,"kimironko house for sale 7 bedrooms,price:80.000.000 Rwf",25/30m,7.0,6.0,,,,Yes,Yes
49 000 000 Rwf,Kanombe,/,4.0,3.0,,,,Yes,
60 000 000 Rwf,Kimironko house for sale@60 millions,25/20m,,1.0,,,,Yes,Yes
250 000 000 Rwf,KAGUGU- GISOZI ON THE PAVED STREET,1300 sq,6.0,6.0,,,,Yes,Yes
140 000 000 Rwf,Gacuriro 140m,30/30p,4.0,3.0,,Yes,,Yes,Yes
